epoch,train_loss,val_loss,val_acc,lr
1,1.840997,1.709350,0.300493,3.00e-04
2,1.675780,1.631340,0.310345,3.00e-04
3,1.672864,1.563219,0.349754,3.00e-04
4,1.548676,1.507183,0.369458,3.00e-04
5,1.613886,1.480502,0.463054,3.00e-04
6,1.467662,1.396030,0.467980,3.00e-04
7,1.405803,1.356813,0.502463,3.00e-04
8,1.276306,1.300416,0.517241,3.00e-04
9,1.284017,1.241785,0.536946,3.00e-04
10,1.170224,1.204551,0.551724,3.00e-04
11,1.229597,1.179589,0.566502,3.00e-04
12,1.159415,1.156067,0.546798,3.00e-04
13,1.101092,1.173159,0.566502,3.00e-04
14,1.073300,1.138966,0.591133,3.00e-04
15,1.071072,1.108386,0.576355,3.00e-04
16,0.985296,1.096733,0.610837,3.00e-04
17,1.042594,1.079671,0.596059,3.00e-04
18,1.003961,1.069933,0.640394,3.00e-04
19,0.978612,1.039149,0.620690,3.00e-04
20,0.860867,1.037359,0.591133,3.00e-04
21,1.024287,1.026465,0.625616,3.00e-04
22,0.925226,1.024048,0.625616,3.00e-04
23,0.903700,1.014773,0.625616,3.00e-04
24,0.839699,0.988733,0.635468,3.00e-04
25,0.841468,0.989959,0.645320,3.00e-04
26,0.781030,0.985197,0.640394,3.00e-04
27,0.840396,1.024114,0.650246,3.00e-04
28,0.791248,0.983060,0.645320,3.00e-04
29,0.766658,0.984546,0.650246,3.00e-04
30,0.770240,0.994691,0.645320,3.00e-04
31,0.727458,0.993337,0.660099,3.00e-04
32,0.708656,0.972782,0.655172,3.00e-04
33,0.720513,0.974295,0.669951,3.00e-04
34,0.737794,0.956082,0.660099,3.00e-04
35,0.768743,0.959628,0.665025,3.00e-04
