epoch,train_loss,val_loss,val_acc,lr
1,2.070381,1.768462,0.352325,1.00e-04
2,1.940066,1.646568,0.440733,1.00e-04
3,1.819558,1.519849,0.505566,1.00e-04
4,1.736281,1.564131,0.468238,1.00e-04
5,1.678135,1.521147,0.487230,1.00e-04
6,1.429408,1.255806,0.561886,1.00e-04
7,1.137848,1.165208,0.582842,1.00e-04
8,0.974855,0.989996,0.637852,1.00e-04
9,0.858238,0.981431,0.633268,1.00e-04
10,0.799052,0.923133,0.651604,1.00e-04
11,0.748787,0.877638,0.664047,1.00e-04
12,0.700352,0.895814,0.656189,1.00e-04
13,0.673743,0.800143,0.690897,1.00e-04
14,0.643893,0.860876,0.675180,1.00e-04
15,0.588048,0.798705,0.703995,1.00e-04
16,0.575625,0.824194,0.693517,1.00e-04
17,0.556607,0.791969,0.704650,1.00e-04
18,0.525368,0.787353,0.700720,1.00e-04
19,0.512107,0.756601,0.715128,1.00e-04
20,0.480650,0.820693,0.698101,1.00e-04
